No. Voucher,Tanggal+Account,Keterangan,Debet,Kredit,Divisi
 K1-02/KK,20140103110.101,b.dak solid u/.r-sekrt.bawah,0.00,34000.00,SEKRET
 K1-02/KK,20140103500.115,b.parkir di gastek & pertagas : wanto,5000.00,0.00,SEKRET
 K1-02/KK,20140103110.101,b.parkir di gastek & pertagas : wanto,0.00,5000.00,SEKRET
 K1-02/KK,20140103999.999,diserahkan ke kas pp-wi,5000000.00,0.00,SEKRET
 K1-02/KK,20140103110.101,diserahkan ke kas pp-wi,0.00,5000000.00,SEKRET
 K1-03/KK,20140106500.129,b.solasi dan klem,15000.00,0.00,SEKRET
 K1-03/KK,20140106110.101,b.solasi dan klem,0.00,15000.00,SEKRET
 K1-03/KK,20140106500.129,b.stiker u/.pintu r-sekrt.bwh,70000.00,0.00,SEKRET
 K1-03/KK,20140106110.101,b.stiker u/.pintu r-sekrt.bwh,0.00,70000.00,SEKRET
 K1-03/KK,20140106500.107,internet indosat desember 2013,27500.00,0.00,SEKRET
 K1-03/KK,20140106110.101,internet indosat desember 2013,0.00,27500.00,SEKRET
 K1-03/KK,20140106500.132,listrik januari 2014,5808400.00,0.00,SEKRET
 K1-03/KK,20140106110.101,listrik januari 2014,0.00,5808400.00,SEKRET
 K1-03/KK,20140106500.129,indovision januari 2014,159000.00,0.00,SEKRET
 K1-03/KK,20140106110.101,indovision januari 2014,0.00,159000.00,SEKRET
 K1-03/KK,20140106500.107,telepon januari 2014,727991.00,0.00,SEKRET
 K1-03/KK,20140106110.101,telepon januari 2014,0.00,727991.00,SEKRET
 K1-03/KK,20140106150.104,b.medical cek-up/conoco : okky p,2816420.00,0.00,SEKRET
 K1-03/KK,20140106110.101,b.medical cek-up/conoco : okky p,0.00,2816420.00,SEKRET
 K1-03/KK,20140106500.126,b.intall ext-pabx : bubun,175000.00,0.00,SEKRET
 K1-03/KK,20140106110.101,b.intall ext-pabx : bubun,0.00,175000.00,SEKRET
 K1-03/KK,20140106150.104,b.safety shoes-2 psg : proy-conoco,640000.00,0.00,SEKRET
 K1-03/KK,20140106110.101,b.safety shoes-2 psg : proy-conoco,0.00,640000.00,SEKRET
 K1-03/KK,20140106500.106,trans ke ui dpk-input sipka 2013 : anna,100000.00,0.00,SEKRET
 K1-03/KK,20140106110.101,trans ke ui dpk-input sipka 2013 : anna,0.00,100000.00,SEKRET
 K1-04/KK,20140107500.126,service motor suzuki : rahmad,81900.00,0.00,SEKRET
 K1-04/KK,20140107110.101,service motor suzuki : rahmad,0.00,81900.00,SEKRET
 K1-04/KK,20140107500.108,fc.bpko & bbk periode : 23-31/12/13,43500.00,0.00,SEKRET
 K1-04/KK,20140107110.101,fc.bpko & bbk periode : 23-31/12/13,0.00,43500.00,SEKRET
 K1-04/KK,20140107500.104,"b.kopi,gula,teh",158000.00,0.00,SEKRET
 K1-04/KK,20140107110.101,"b.kopi,gula,teh",0.00,158000.00,SEKRET
 K1-05/KK,20140108500.135,b.pajak motor suzuki : 1 thn,245000.00,0.00,SEKRET
 K1-05/KK,20140108110.101,b.pajak motor suzuki : 1 thn,0.00,245000.00,SEKRET
 K1-05/KK,20140108500.135,b.pajak mobil apv : 1 thn,1313000.00,0.00,SEKRET
 K1-05/KK,20140108110.101,b.pajak mobil apv : 1 thn,0.00,1313000.00,SEKRET
 K1-05/KK,20140108500.106,trans pengurusan pajak motor & mobil : w,160000.00,0.00,SEKRET
 K1-05/KK,20140108110.101,trans pengurusan pajak motor & mobil : w,0.00,160000.00,SEKRET
 K1-05/KK,20140108500.106,trans input realisasi sipka 2013-dpk : a,100000.00,0.00,SEKRET
 K1-05/KK,20140108110.101,trans input realisasi sipka 2013-dpk : a,0.00,100000.00,SEKRET
 K1-05/KK,20140108500.106,b.stiker parkir ui: jan-jun 2014 (1 bh),75000.00,0.00,SEKRET
 K1-05/KK,20140108110.101,b.stiker parkir ui: jan-jun 2014 (1 bh),0.00,75000.00,SEKRET
 K1-05/KK,20140108150.104,fc.lap & invoice : proy-conoco,8000.00,0.00,SEKRET
 K1-05/KK,20140108110.101,fc.lap & invoice : proy-conoco,0.00,8000.00,SEKRET
 K1-05/KK,20140108150.104,trans ke conoco-ratuprabu yudan,200000.00,0.00,SEKRET
 K1-05/KK,20140108110.101,trans ke conoco-ratuprabu yudan,0.00,200000.00,SEKRET
 K1-02/KK,20140103150.104,konsumsi proyek conoco,663100.00,0.00,SEKRET
 K1-02/KK,20140103110.101,konsumsi proyek conoco,0.00,663100.00,SEKRET
 K1-06/KK,20140109150.104,b.medical cek-up/conoco : kiki,2816420.00,0.00,SEKRET
 K1-06/KK,20140109110.101,b.medical cek-up/conoco : kiki,0.00,2816420.00,SEKRET
 K1-06/KK,20140109500.104,konsumsi ke rumah pak iman,195000.00,0.00,SEKRET
 K1-06/KK,20140109110.101,konsumsi ke rumah pak iman,0.00,195000.00,SEKRET
 K1-06/KK,20140109500.106,"bensin,tol ke rumah pak imansyah",218180.00,0.00,SEKRET
 K1-06/KK,20140109110.101,"bensin,tol ke rumah pak imansyah",0.00,218180.00,SEKRET
 K1-06/KK,20140109500.108,jilid bpko periode : agt-okt 2013,120000.00,0.00,SEKRET
 K1-06/KK,20140109110.101,jilid bpko periode : agt-okt 2013,0.00,120000.00,SEKRET
 K1-07/KK,20140110150.104,konsumsi proyek conoco,800800.00,0.00,SEKRET
 K1-07/KK,20140110110.101,konsumsi proyek conoco,0.00,800800.00,SEKRET
 K1-07/KK,20140110150.104,trans ke conoco-ratuprabu : yudan,100000.00,0.00,SEKRET
 K1-07/KK,20140110110.101,trans ke conoco-ratuprabu : yudan,0.00,100000.00,SEKRET
 K1-07/KK,20140110999.999,diserahkan ke kas pp-wi,4728460.00,0.00,SEKRET
 K1-07/KK,20140110110.101,diserahkan ke kas pp-wi,0.00,4728460.00,SEKRET
 K1-07/KK,20140110500.106,trans input sipka pengeluaran 2013-dpk:,100000.00,0.00,SEKRET
 K1-07/KK,20140110110.101,trans input sipka pengeluaran 2013-dpk:,0.00,100000.00,SEKRET
 K1-07/KK,20140110500.108,jilid bpko-7bh: periode nop-des 2013,140000.00,0.00,SEKRET
 K1-07/KK,20140110110.101,jilid bpko-7bh: periode nop-des 2013,0.00,140000.00,SEKRET
 K1-07/KK,20140110500.104,isi air mineral vit-3 btl,40000.00,0.00,SEKRET
 K1-07/KK,20140110110.101,isi air mineral vit-3 btl,0.00,40000.00,SEKRET
 K1-08/KK,20140113150.104,b.tiket cgk-plm:2 org (14/12/13-conoco),1964200.00,0.00,SEKRET
 K1-08/KK,20140113110.101,b.tiket cgk-plm:2 org (14/12/13-conoco),0.00,1964200.00,SEKRET
 K1-08/KK,20140113500.102,ctk plang logo makara ui-steinless steel,950000.00,0.00,SEKRET
 K1-08/KK,20140113110.101,ctk plang logo makara ui-steinless steel,0.00,950000.00,SEKRET
*K1-9/KK,20140115500.115,trans antar invoice-conoco : rahmad,50000.00,0.00,SEKRET
*K1-9/KK,20140115110.101,trans antar invoice-conoco : rahmad,0.00,50000.00,SEKRET
*K1-9/KK,20140115500.106,trans input simkas (1-10/1/14) dpk : ann,100000.00,0.00,SEKRET
*K1-9/KK,20140115110.101,trans input simkas (1-10/1/14) dpk : ann,0.00,100000.00,SEKRET
*K1-9/KK,20140115500.102,ctk plang p2m-steinless steel : r-sekrt,900000.00,0.00,SEKRET
*K1-9/KK,20140115110.101,ctk plang p2m-steinless steel : r-sekrt,0.00,900000.00,SEKRET
 K1-10/KK,20140116500.108,fc.bpko periode : 1-10/1/14,54000.00,0.00,SEKRET
 K1-10/KK,20140116110.101,fc.bpko periode : 1-10/1/14,0.00,54000.00,SEKRET
 K1-10/KK,20140116500.119,b.jamsostek p2m-januari 2014,1263600.00,0.00,SEKRET
 K1-10/KK,20140116110.101,b.jamsostek p2m-januari 2014,0.00,1263600.00,SEKRET
 K1-10/KK,20140116150.104,b.jamsostek conoco-januari 2014,4475640.00,0.00,SEKRET
 K1-10/KK,20140116110.101,b.jamsostek conoco-januari 2014,0.00,4475640.00,SEKRET
 K1-10/KK,20140116500.119,b.bpjs karyawan p2m-jan 2014,1086000.00,0.00,SEKRET
 K1-10/KK,20140116110.101,b.bpjs karyawan p2m-jan 2014,0.00,1086000.00,SEKRET
 K1-10/KK,20140116500.104,makan siang staf,21000.00,0.00,SEKRET
 K1-10/KK,20140116110.101,makan siang staf,0.00,21000.00,SEKRET
 K1-10/KK,20140116500.104,isi air mineral vit-9 btl,90000.00,0.00,SEKRET
 K1-10/KK,20140116110.101,isi air mineral vit-9 btl,0.00,90000.00,SEKRET
 K1-11/KK,20140117500.131,trans rapat d-pengawas p2m di dpk: 8 org,1200000.00,0.00,SEKRET
 K1-11/KK,20140117110.101,trans rapat d-pengawas p2m di dpk: 8 org,0.00,1200000.00,SEKRET
 K1-11/KK,20140117500.131,konsumsi rapat d-pengawas di dtm-depok,295000.00,0.00,SEKRET
 K1-11/KK,20140117110.101,konsumsi rapat d-pengawas di dtm-depok,0.00,295000.00,SEKRET
 K1-11/KK,20140117150.104,b.bpjs kesehatan conoco-jan 2014,2379000.00,0.00,SEKRET
 K1-11/KK,20140117110.101,b.bpjs kesehatan conoco-jan 2014,0.00,2379000.00,SEKRET
 K1-11/KK,20140117500.102,ctk plang dtm ui-steinless steel: r-sekr,950000.00,0.00,SEKRET
 K1-11/KK,20140117110.101,ctk plang dtm ui-steinless steel: r-sekr,0.00,950000.00,SEKRET
 K1-11/KK,20140117500.126,b.karet pintu kaca -r.sekrt.bawah : 10bh,200000.00,0.00,SEKRET
 K1-11/KK,20140117110.101,b.karet pintu kaca -r.sekrt.bawah : 10bh,0.00,200000.00,SEKRET
 K1-11/KK,20140117500.111,sewa dispenser vit-desember 2013,39600.00,0.00,SEKRET
 K1-11/KK,20140117110.101,sewa dispenser vit-desember 2013,0.00,39600.00,SEKRET
 WI01-1/KM,20140103999.999,trm.dr.kas p2m,0.00,5000000.00,SEKRET
 WI01-6/KM,20140110999.999,trm.dr.kas p2m,0.00,4728460.00,SEKRET
 K1-12/KK,20140120500.107,internet telkomsel-januari 2014,443000.00,0.00,SEKRET
 K1-12/KK,20140120110.101,internet telkomsel-januari 2014,0.00,443000.00,SEKRET
 K1-12/KK,20140120500.106,b.stiker parkir ui:jan-jun 2014 (imansya,75000.00,0.00,SEKRET
 K1-12/KK,20140120110.101,b.stiker parkir ui:jan-jun 2014 (imansya,0.00,75000.00,SEKRET
 K1-12/KK,20140120500.110,kirim invoice pelatihan : psmi-lampung,25000.00,0.00,SEKRET
 K1-12/KK,20140120110.101,kirim invoice pelatihan : psmi-lampung,0.00,25000.00,SEKRET
 K1-12/KK,20140120500.106,trans ke jatinegara : rahmad,23000.00,0.00,SEKRET
 K1-12/KK,20140120110.101,trans ke jatinegara : rahmad,0.00,23000.00,SEKRET
 K1-12/KK,20140120500.115,b.ring binder bantex-1 lsn : proyek pert,270000.00,0.00,SEKRET
 K1-12/KK,20140120110.101,b.ring binder bantex-1 lsn : proyek pert,0.00,270000.00,SEKRET
 K1-12/KK,20140120500.110,b.materai 6000 & 3000,90000.00,0.00,SEKRET
 K1-12/KK,20140120110.101,b.materai 6000 & 3000,0.00,90000.00,SEKRET
 K1-12/KK,20140120500.129,b.dispenser miyako-1bh : r-sekrt.bawah,125000.00,0.00,SEKRET
 K1-12/KK,20140120110.101,b.dispenser miyako-1bh : r-sekrt.bawah,0.00,125000.00,SEKRET
 K1-13/KK,20140121500.115,fc.proyek pertagass,37200.00,0.00,SEKRET
 K1-13/KK,20140121110.101,fc.proyek pertagass,0.00,37200.00,SEKRET
 K1-13/KK,20140121500.106,transport ke p2m-pp : seto,200000.00,0.00,SEKRET
 K1-13/KK,20140121110.101,transport ke p2m-pp : seto,0.00,200000.00,SEKRET
 K1-13/KK,20140121500.108,fc.bpko periode : 13-17/1/14,26850.00,0.00,SEKRET
 K1-13/KK,20140121110.101,fc.bpko periode : 13-17/1/14,0.00,26850.00,SEKRET
 K1-13/KK,20140121500.138,b.bunga papan u/.pengukuhan prof.m.idrus,430000.00,0.00,SEKRET
 K1-13/KK,20140121110.101,b.bunga papan u/.pengukuhan prof.m.idrus,0.00,430000.00,SEKRET
 K1-13/KK,20140121500.104,makan siang staf,19000.00,0.00,SEKRET
 K1-13/KK,20140121110.101,makan siang staf,0.00,19000.00,SEKRET
 K1-13/KK,20140121500.106,"bensin,tol ke ui depok : imansyah",160500.00,0.00,SEKRET
 K1-13/KK,20140121110.101,"bensin,tol ke ui depok : imansyah",0.00,160500.00,SEKRET
 K1-14/KK,20140122500.106,trans input simkas (13-17/1/14) dpk : an,100000.00,0.00,SEKRET
 K1-14/KK,20140122110.101,trans input simkas (13-17/1/14) dpk : an,0.00,100000.00,SEKRET
 K1-14/KK,20140122200.106,trans ke PIM-proyek radita: wilda,200000.00,0.00,SEKRET
 K1-14/KK,20140122110.101,trans ke PIM-proyek radita: wilda,0.00,200000.00,SEKRET
 K1-14/KK,20140122500.129,b.lem aibon-1 bh,15000.00,0.00,SEKRET
 K1-14/KK,20140122110.101,b.lem aibon-1 bh,0.00,15000.00,SEKRET
 K1-15/KM,20140122110.101,ambil bni cek no.cd 396542,2700000.00,0.00,SEKRET
 K1-15/KM,20140122999.999,ambil bni cek no.cd 396542,0.00,2700000.00,SEKRET
 K1-16/KK,20140123150.104,b.tiket plm-cgk: 2 org (4/1/14-proy.cono,2407400.00,0.00,SEKRET
 K1-16/KK,20140123110.101,b.tiket plm-cgk: 2 org (4/1/14-proy.cono,0.00,2407400.00,SEKRET
 K1-14/KK,20140122500.104,makan siang staf,20000.00,0.00,SEKRET
 K1-14/KK,20140122110.101,makan siang staf,0.00,20000.00,SEKRET
 K1-17/KK,20140124500.115,trans ke ui depok/pertagas : rahmad,15000.00,0.00,SEKRET
 K1-17/KK,20140124110.101,trans ke ui depok/pertagas : rahmad,0.00,15000.00,SEKRET
 K1-17/KK,20140124500.115,trans ke pertagas : wanto,22000.00,0.00,SEKRET
 K1-17/KK,20140124110.101,trans ke pertagas : wanto,0.00,22000.00,SEKRET
 K1-17/KK,20140124200.106,hn.insentif proyek damkar-depok : iwan,1500000.00,0.00,SEKRET
 K1-17/KK,20140124110.101,hn.insentif proyek damkar-depok : iwan,0.00,1500000.00,SEKRET
 K1-17/KK,20140124500.129,b.tisue wajah & tisue toilet,100000.00,0.00,SEKRET
 K1-17/KK,20140124110.101,b.tisue wajah & tisue toilet,0.00,100000.00,SEKRET
 K1-18/KM,20140124110.101,kemb.pjk : hn.inst.proyek damkar dpk,75000.00,0.00,SEKRET
 K1-18/KM,20140124110.110,kemb.pjk : hn.inst.proyek damkar dpk,0.00,75000.00,SEKRET
*B01-01/BM,20140102120.103,proyek skkl-damkar depok,52302744.00,0.00,SEKRET
*B01-01/BM,20140102140.106,proyek skkl-damkar depok,0.00,52302744.00,SEKRET
*B01-01/BM,20140102120.103,pp-wi : aga (angk.16),3750000.00,0.00,SEKRET
 B01-02/BM,20140103120.103,"pp-wi : sigit (angk,16)",4500000.00,0.00,SEKRET
 B01-03/BM,20140106120.103,pp-wi : bayu (angk.16),1000000.00,0.00,SEKRET
 B01-03/BM,20140106120.103,pp-wi : bambang (angk.16),3000000.00,0.00,SEKRET
 B01-4/BM,20140108120.103,e-device : kedubes as (2 org),11200000.00,0.00,SEKRET
B01-6/BM,20140121120.103,inhouse pump & seal : pusri-palembang,48540000.00,0.00,SEKRET
 B01-6/BM,20140121140.105,inhouse pump & seal : pusri-palembang,0.00,48540000.00,SEKRET
 B01-07/BK,20140122999.999,tarik bni cek no. cd 396542,2700000.00,0.00,SEKRET
 B01-07/BK,20140122120.103,tarik bni cek no. cd 396542,0.00,2700000.00,SEKRET
 B01-05/BM,20140116120.103,trm.dr.inh-training & workshop sdm ui 20,110000000.00,0.00,SEKRET
 B01-05/BM,20140116140.105,inh-prwt gd u/.teknisi : sdm ui 2013,0.00,89469450.00,SEKRET
 B01-05/BM,20140116140.106,worshop sdm ui 2013,0.00,20530550.00,SEKRET
 K1-19/KK,20140127500.104,makan siang staf,400000.00,0.00,SEKRET
 K1-19/KK,20140127110.101,makan siang staf,0.00,400000.00,SEKRET
 K1-19/KK,20140127500.106,"bensin,tol ke ui depok : imansyah",170500.00,0.00,SEKRET
 K1-19/KK,20140127110.101,"bensin,tol ke ui depok : imansyah",0.00,170500.00,SEKRET
 K1-19/KK,20140127500.115,trans ke pertagas : wanto,22000.00,0.00,SEKRET
 K1-19/KK,20140127110.101,trans ke pertagas : wanto,0.00,22000.00,SEKRET
 K1-19/KK,20140127500.126,b.service cpu-1bh : k-mutia,30000.00,0.00,SEKRET
 K1-19/KK,20140127110.101,b.service cpu-1bh : k-mutia,0.00,30000.00,SEKRET
 K1-19/KK,20140127500.103,tunj-pph 21: gaji karyawan januari 2014,1808487.00,0.00,SEKRET
 K1-19/KK,20140127110.101,tunj-pph 21: gaji karyawan januari 2014,0.00,1808487.00,SEKRET
 K1-19/KK,20140127500.101,gaji karyawan januari 2014,26772000.00,0.00,SEKRET
 K1-19/KK,20140127110.101,gaji karyawan januari 2014,0.00,26772000.00,SEKRET
 K1-19/KK,20140127500.105,tunj-keamanan januari 2014 : rahmad,200000.00,0.00,SEKRET
 K1-19/KK,20140127110.101,tunj-keamanan januari 2014 : rahmad,0.00,200000.00,SEKRET
 K1-19/KK,20140127500.117,makan karyawan - januari 2014,4015000.00,0.00,SEKRET
 K1-19/KK,20140127110.101,makan karyawan - januari 2014,0.00,4015000.00,SEKRET
 K1-19/KK,20140127500.118,trans karyawan - januari 2014,5515000.00,0.00,SEKRET
 K1-19/KK,20140127110.101,trans karyawan - januari 2014,0.00,5515000.00,SEKRET
 K1-19/KK,20140127500.134,hn.sekrt.inh-kemenkes : 5 paket,14103000.00,0.00,SEKRET
 K1-19/KK,20140127110.101,hn.sekrt.inh-kemenkes : 5 paket,0.00,14103000.00,SEKRET
 K1-19/KK,20140127500.134,hn.sekrt.inh-kemenkes: 5 paket (imansyah,3153500.00,0.00,SEKRET
 K1-19/KK,20140127110.101,hn.sekrt.inh-kemenkes: 5 paket (imansyah,0.00,3153500.00,SEKRET
 K1-19/KK,20140127500.134,hn.sekrt.inh-kemenkes : 5 paket (fitriya,573500.00,0.00,SEKRET
 K1-19/KK,20140127110.101,hn.sekrt.inh-kemenkes : 5 paket (fitriya,0.00,573500.00,SEKRET
 K1-20/KM,20140127110.101,ambil bni cek no.,50605000.00,0.00,SEKRET
 K1-20/KM,20140127999.999,ambil bni cek no.,0.00,50605000.00,SEKRET
 K1-20/KM,20140127110.101,kemb.tunj-pph21 gaji januari 2014,1808487.00,0.00,SEKRET
 K1-20/KM,20140127110.110,kemb.tunj-pph21 gaji januari 2014,0.00,1808487.00,SEKRET
 K1-20/KM,20140127110.101,kemb.pjk : hn.sekrt.inh-kemenkes (imansy,473025.00,0.00,SEKRET
 K1-20/KM,20140127110.110,kemb.pjk : hn.sekrt.inh-kemenkes (imansy,0.00,473025.00,SEKRET
 K1-20/KM,20140127110.101,kemb.pjk: hn.inh-kemenkes (fitriya),28675.00,0.00,SEKRET
 K1-20/KM,20140127110.110,kemb.pjk: hn.inh-kemenkes (fitriya),0.00,28675.00,SEKRET
 K1-21/KK,20140128500.106,trans input simkas-depok (20-24/1/14): a,100000.00,0.00,SEKRET
 K1-21/KK,20140128110.101,trans input simkas-depok (20-24/1/14): a,0.00,100000.00,SEKRET
 K1-21/KK,20140128500.108,fc.bpko periode : 20-24/1/2014,19800.00,0.00,SEKRET
 K1-21/KK,20140128110.101,fc.bpko periode : 20-24/1/2014,0.00,19800.00,SEKRET
 K1-21/KK,20140128500.115,trans ke pertagas : elvira,50000.00,0.00,SEKRET
 K1-21/KK,20140128110.101,trans ke pertagas : elvira,0.00,50000.00,SEKRET
 K1-21/KK,20140128150.104,konsumsi proyek conoco : 10 & 16/1/14,1420758.00,0.00,SEKRET
 K1-21/KK,20140128110.101,konsumsi proyek conoco : 10 & 16/1/14,0.00,1420758.00,SEKRET
 K1-21/KK,20140128200.106,hn.proyek damkar depok : yulianto,20000000.00,0.00,SEKRET
 K1-21/KK,20140128110.101,hn.proyek damkar depok : yulianto,0.00,20000000.00,SEKRET
 K1-21/KK,20140128200.106,hn.proy-damkar depok : warjito,10000000.00,0.00,SEKRET
 K1-21/KK,20140128110.101,hn.proy-damkar depok : warjito,0.00,10000000.00,SEKRET
 K1-21/KK,20140128200.106,hn.proy-damkar depok : soekartono,10000000.00,0.00,SEKRET
 K1-21/KK,20140128110.101,hn.proy-damkar depok : soekartono,0.00,10000000.00,SEKRET
 K1-21/KK,20140128200.106,hn.proy-damkar depok : imansyah,3000000.00,0.00,SEKRET
 K1-21/KK,20140128110.101,hn.proy-damkar depok : imansyah,0.00,3000000.00,SEKRET
 K1-21/KK,20140128200.106,hn.proy-damkar depok : wilda,2000000.00,0.00,SEKRET
 K1-21/KK,20140128110.101,hn.proy-damka depok : wilda,0.00,2000000.00,SEKRET
 K1-21/KK,20140128200.106,hn.proy-damkar depok : anna,1000000.00,0.00,SEKRET
 K1-21/KK,20140128110.101,hn.proy-damkar depok : anna,0.00,1000000.00,SEKRET
 K1-21/KK,20140128200.106,hn.proy-damkar depok : riswanto,500000.00,0.00,SEKRET
 K1-21/KK,20140128110.101,hn.proy-damkar depok : riswanto,0.00,500000.00,SEKRET
 K1-22/KM,20140130110.101,ambil bni cek no. bh 629592,40875000.00,0.00,SEKRET
 K1-22/KM,20140130999.999,ambil bni cek no. bh 629592,0.00,40875000.00,SEKRET
 K1-22/KM,20140130110.101,kemb.pjk hn.proy-damkar depok (ls),5625000.00,0.00,SEKRET
 K1-22/KM,20140130110.110,kemb.pjk hn.proy-damkar depok (ls),0.00,5625000.00,SEKRET
 K1-23/KK,20140129500.106,trans ke ui depok : rahmad,15000.00,0.00,SEKRET
 K1-23/KK,20140129110.101,trans ke ui depok : rahmad,0.00,15000.00,SEKRET
 K1-23/KK,20140129500.106,trans ke ip-tanjung priuk: seto (pp),200000.00,0.00,SEKRET
 K1-23/KK,20140129110.101,trans ke ip-tanjung priuk: seto (pp),0.00,200000.00,SEKRET
 K1-24/KM,20140129110.101,ambil bni cek no. cd 396544,16384825.00,0.00,SEKRET
 K1-24/KM,20140129999.999,ambil bni cek no. cd 396544,0.00,16384825.00,SEKRET
 K1-25/KK,20140130500.104,isi air mineral vit-3 btl,42000.00,0.00,SEKRET
 K1-25/KK,20140130110.101,isi air mineral vit-3 btl,0.00,42000.00,SEKRET
 K1-25/KK,20140130500.125,koran : nopember dan desember 2013,156000.00,0.00,SEKRET
 K1-25/KK,20140130110.101,koran : nopember dan desember 2013,0.00,156000.00,SEKRET
 K1-25/KK,20140130500.106,trans input sipka-feb 2014 di dpk : anna,100000.00,0.00,SEKRET
 K1-25/KK,20140130110.101,trans input sipka-feb 2014 di dpk : anna,0.00,100000.00,SEKRET
 K1-25/KK,20140130150.104,trans ke jamsostek-bpjs u/.jan'14: mutia,200000.00,0.00,SEKRET
 K1-25/KK,20140130110.101,trans ke jamsostek-bpjs u/.jan'14: mutia,0.00,200000.00,SEKRET
 K1-25/KK,20140130200.106,konsumsi proyek radita,70000.00,0.00,SEKRET
 K1-25/KK,20140130110.101,konsumsi proyek radita,0.00,70000.00,SEKRET
 K1-25/KK,20140130200.106,trans ke ui depok/proy-radita: wilda,100000.00,0.00,SEKRET
 K1-25/KK,20140130110.101,trans ke ui depok/proy-radita: wilda,0.00,100000.00,SEKRET
 K1-25/KK,20140130150.104,b.hand gloves hyflex-4bh : proy-conoco,420000.00,0.00,SEKRET
 K1-25/KK,20140130110.101,b.hand gloves hyflex-4bh : proy-conoco,0.00,420000.00,SEKRET
 B01-8/BM,20140124120.103,pp-wi : ind-power (angk.2),139995000.00,0.00,SEKRET
 B01-8/BM,20140124140.102,pp-wi : ind-power (angk.2),0.00,139995000.00,SEKRET
 B01-9/BK,20140127999.999,tarik cek bni no. bh 629608,50605000.00,0.00,SEKRET
 B01-9/BK,20140127120.103,tarik cek bni no. bh 629608,0.00,50605000.00,SEKRET
 B01-10/BK,20140128999.999,tarik cek bni no. bh 629592,40875000.00,0.00,SEKRET
 B01-10/BK,20140128120.103,tarik cek bni no. bh 629592,0.00,40875000.00,SEKRET
 B01-11/BM,20140129120.103,qc-qa ; astra honda-1 org,4500000.00,0.00,SEKRET
 B01-11/BM,20140129140.111,qc-qa ; astra honda-1 org,0.00,4500000.00,SEKRET
 B01-12/BK,20140129999.999,ambil bi cek no. cd 396544,16384825.00,0.00,SEKRET
 B01-12/BK,20140129120.103,ambil bi cek no. cd 396544,0.00,16384825.00,SEKRET
 B01-13/BM,20140130120.103,workshop sdm ui - 2013 (pelunasan),7670000.00,0.00,SEKRET
 B01-13/BM,20140130140.106,workshop sdm ui - 2013 (pelunasan),0.00,7670000.00,SEKRET
 B01-14/BK,20140130110.110,pajak pph 21 januari 2014 (hn.proy-damk,5625000.00,0.00,SEKRET
 B01-14/BK,20140130120.103,pajak pph 21 januari 2014 (hn.proy-damk,0.00,5625000.00,SEKRET
 B01-14/BK,20140130110.110,pajak pph21 : janari 2014 (gaji karyawan,1808487.00,0.00,SEKRET
 B01-14/BK,20140130120.103,pajak pph21 : janari 2014 (gaji karyawan,0.00,1808487.00,SEKRET
 B01-14/BK,20140130110.110,pajak pph21 : januari 2014,576700.00,0.00,SEKRET
 B01-14/BK,20140130120.103,pajak pph21 : januari 2014,0.00,576700.00,SEKRET
 B01-14/BK,20140130110.110,pajak pph21 : desember 2013,4674650.00,0.00,SEKRET
 B01-14/BK,20140130120.103,pajak pph21 : desember 2013,0.00,4674650.00,SEKRET
 B01-14/BK,20140130110.110,pajak pph23 : desember 2013,650500.00,0.00,SEKRET
